Year,Region,ZNO Grade,DPA Grade,Test Grade
2019,Вінницька область,139.347,6.642,48.597
2019,Волинська область,142.853,6.819,51.284
2019,Дніпропетровська область,139.385,6.550,48.378
2019,Донецька область,139.327,6.575,48.584
2019,Житомирська область,141.131,6.739,49.929
2019,Закарпатська область,132.346,5.980,43.482
2019,Запорізька область,138.228,6.450,47.513
2019,Івано-Франківська область,140.334,6.751,49.382
2019,Київська область,144.090,6.896,52.128
2019,Кіровоградська область,139.778,6.523,48.862
2019,Луганська область,138.641,6.510,47.878
2019,Львівська область,146.747,7.156,54.494
2019,м.Київ,147.957,7.238,55.019
2019,Миколаївська область,137.864,6.463,47.366
2019,Одеська область,137.624,6.339,47.120
2019,Полтавська область,141.149,6.740,49.862
2019,Рівненська область,139.143,6.468,48.526
2019,Сумська область,140.822,6.686,49.645
2019,Тернопільська область,141.177,6.685,50.005
2019,Харківська область,144.105,6.960,52.019
2019,Херсонська область,137.647,6.466,47.175
2019,Хмельницька область,140.428,6.619,49.376
2019,Черкаська область,142.082,6.695,50.380
2019,Чернівецька область,133.196,6.135,44.013
2019,Чернігівська область,143.570,6.832,51.739
2020,Вінницька область,143.189,7.677,53.127
2020,Волинська область,145.179,7.739,54.576
2020,Дніпропетровська область,141.552,7.519,51.788
2020,Донецька область,140.355,7.379,50.931
2020,Житомирська область,143.826,7.699,53.632
2020,Закарпатська область,136.034,6.952,47.699
2020,Запорізька область,138.934,7.296,49.796
2020,Івано-Франківська область,145.471,7.775,54.984
2020,Київська область,144.269,7.663,53.859
2020,Кіровоградська область,141.346,7.447,51.627
2020,Луганська область,140.873,7.532,51.273
2020,Львівська область,151.548,8.203,59.656
2020,м.Київ,150.602,8.208,58.838
2020,Миколаївська область,138.924,7.305,49.807
2020,Одеська область,140.746,7.467,51.199
2020,Полтавська область,143.020,7.666,52.937
2020,Рівненська область,145.494,7.756,54.945
2020,Сумська область,145.019,7.886,54.520
2020,Тернопільська область,144.843,7.639,54.395
2020,Харківська область,145.489,7.802,54.808
2020,Херсонська область,139.222,7.309,50.018
2020,Хмельницька область,144.168,7.689,53.864
2020,Черкаська область,143.207,7.642,53.079
2020,Чернівецька область,140.872,7.472,51.336
2020,Чернігівська область,144.005,7.534,53.703
